DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Address City,Address State,Address ZIP,Address Borough
1245266-DCA,Business,03/31/2014,Inactive,12/18/2006,Stoop Line Stand,"EAST VILLAGE FRUIT AND VEGETABLE, CORP.",NEW YORK,NY,10009,Manhattan
1371391-DCA,Business,12/31/2016,Inactive,09/17/2010,Electronics Store,VZW WIRELESS CORP.,FLUSHING,NY,11358,Queens
2064558-DCA,Business,12/31/2021,Active,01/06/2018,Laundries,SAM'S CLEANER INC.,BROOKLYN,NY,11217,Brooklyn
0904674-DCA,Business,07/31/2021,Active,07/30/2003,Secondhand Dealer - General,DIAMONDS ARE FOREVER CORP.,NEW YORK,NY,10036,Manhattan
2034585-DCA,Business,03/15/2019,Inactive,03/17/2016,Amusement Device Portable,LIFETIME VENDING & AMUSEMENTS INC.,ISLAND PARK,NY,11558,Outside NYC
2052775-DCA,Business,02/28/2019,Inactive,05/10/2017,Home Improvement Contractor,AZHAR CONSTRUCTION INC,RICHMOND HILL,NY,11418,Queens
2044318-DCA,Business,07/31/2017,Inactive,09/30/2016,Secondhand Dealer - General,J & S CELLULAR SOLUTIONS CORP,NEW YORK,NY,10033,Manhattan
1430185-DCA,Business,03/31/2016,Inactive,05/17/2012,Stoop Line Stand,ROBERTO PELAEZ CORTEZ,NEW YORK,NY,10031,Manhattan
1065483-DCA,Business,04/30/2013,Inactive,10/24/2000,Pawnbroker,KING PAWN BROKERS INC.,BRONX,NY,10455,Bronx
1339504-DCA,Business,06/30/2011,Inactive,11/24/2009,Home Improvement Contractor,PABLO'S GOOD & CLEAN CONSTRUCTION INC,BRONX,NY,10461,Bronx
1355970-DCA,Business,07/31/2015,Inactive,05/26/2010,Secondhand Dealer - General,O & R TRADING INC.,NEW YORK,NY,10019,Manhattan
1380310-DCA,Business,12/31/2016,Inactive,01/07/2011,Tobacco Retail Dealer,KARAN DELI & GROCERY INC,OZONE PARK,NY,11416,Queens
0925386-DCA,Business,02/28/2021,Active,12/04/2002,Home Improvement Contractor,NEW YORK KITCHEN DESIGN CENTER INC.,STATEN ISLAND,NY,10305,Staten Island
1331181-DCA,Business,07/31/2011,Inactive,08/31/2009,Secondhand Dealer - General,"SANMARTIN, JOSE M",JACKSON HTS,NY,11372,Queens
1156140-DCA,Business,12/31/2012,Inactive,11/18/2003,Electronics Store,"WIRELESS EXPRESS, INC.",NEW YORK,NY,10003,Manhattan
2082197-2-DCA,Business,11/30/2020,Active,02/12/2019,Electronic Cigarette Dealer,MAHANT 3461 INC,BRONX,NY,10465,Bronx
1383346-DCA,Business,06/30/2014,Inactive,02/23/2011,Electronic & Appliance Service,SNL INC.,BROOKLYN,NY,11217,Brooklyn
2076276-DCA,Business,03/31/2021,Active,07/27/2018,Garage,338 EAST 59TH STREET GARAGE LLC,NEW YORK,NY,10022,Manhattan
0732228-DCA,Business,06/30/2011,Inactive,12/16/2002,Home Improvement Contractor,"SCHMIDT, BERND R",ROCKY POINT,NY,11778,Outside NYC
2051105-DCA,Business,12/31/2018,Inactive,04/12/2017,Electronics Store,"STELLAR WIRELESS RETAIL, LLC",BROOKLYN,NY,11226,Brooklyn
1209011-DCA,Business,02/28/2021,Active,09/08/2005,Home Improvement Contractor,"HARRISON HOME IMPROVEMENT, INC.",BROOKLYN,NY,11207,Brooklyn
1362073-DCA,Business,01/31/2011,Inactive,07/08/2010,Debt Collection Agency,MDS MARKETING CORP,BROOKLYN,NY,11229,Brooklyn
2027314-DCA,Business,02/28/2021,Active,08/19/2015,Home Improvement Contractor,"ELEGANT INTERIORS USA, INC.",FRESH MEADOWS,NY,11365,Queens
1438905-DCA,Business,02/28/2015,Inactive,07/26/2012,Home Improvement Contractor,J.D. WILSON CONSTRUCTION CORPORATION,WOODSIDE,NY,11377,Queens
1243984-DCA,Business,12/31/2010,Inactive,11/21/2006,Tobacco Retail Dealer,801 FOOD AT 8TH AVE CORP.,NEW YORK,NY,10019,Manhattan
